full_name,diameter,rot_per,albedo,class,H,GM
   366 Vincentina (A893 FG),86.368,12.7365,0.091,MBA,8.66,
   367 Amicitia (A893 KB),21.243,5.05538,0.393,MBA,10.61,
   368 Haidea (A893 KC),69.277,9.823,0.038,MBA,9.92,
   369 Aeria (A893 NA),73.767,4.778,0.127,MBA,8.62,
   370 Modestia (A893 NB),38.093,22.5299,0.065,MBA,10.67,
   371 Bohemia (A893 OA),52.976,10.7391,0.234,MBA,8.74,
   372 Palma (A893 QB),173.642,8.567,0.059,MBA,7.39,
   373 Melusina (A893 RA),98.695,12.9869,0.040,MBA,9.13,
   374 Burgundia (A893 SA),44.67,6.9624,0.3014,MBA,8.76,
   375 Ursula (A893 SB),216,16.899,0.037,MBA,7.48,
   376 Geometria (A893 SC),35.465,7.74,0.321,MBA,9.56,
   377 Campania (A893 SD),90.346,11.664,0.060,MBA,9.11,
   378 Holmia (A893 XA),27.831,4.45,0.339,MBA,9.80,
   379 Huenna (A894 AA),84.787,14.141,0.046,MBA,9.10,
   380 Fiducia (A894 AB),67.508,13.69,0.066,MBA,9.61,
   381 Myrrha (A894 AC),127.639,6.572,0.064,OMB,8.38,
   382 Dodona (A894 BB),65.209,4.113,0.129,MBA,8.77,
   383 Janina (A894 BC),43.482,6.426,0.040,MBA,10.04,
   384 Burdigala (A894 CA),34.435,404.9,0.192,MBA,9.38,
   385 Ilmatar (A894 EA),85.837,62.35,0.242,MBA,7.80,
   386 Siegena (A894 EB),165.01,9.763,0.0692,MBA,7.74,
   387 Aquitania (A894 EC),100.51,24.144,0.1900,MBA,7.49,
   388 Charybdis (A894 ED),125.754,9.516,0.042,MBA,8.71,
   389 Industria (A894 EE),74.378,8.4973,0.225,MBA,7.95,
